,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.9523
y:label=1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=4,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9473
y:label=5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9615
y:label=9,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629
y:label=10,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8148
y:label=11,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=12,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.9583
y:label=13,0,0,0,0,1,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0.8947
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1
y:label=16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,1,0.9230
y:label=17,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,18,0,0,0,0,0,0,0,0.8181
y:label=18,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,12,0,0,0,0,0,0,0.5714
y:label=19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,13,0,0,0,0,1,0.7222
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0.9411
y:label=24,1,0,1,1,2,0,3,0,1,0,0,0,1,0,0,1,0,0,0,1,3,2,2,1,52,0.7222
Precision,0.9523,0.96,0.9166,0.9565,0.8181,1,0.8695,0.95,0.8333,0.9629,0.88,0.9696,0.92,0.8947,0.7575,0.8529,1,0.9473,1,0.9285,0.8461,0.9230,0.9333,0.9411,0.9629,
F-Measures,0.9523,0.9795,0.9564,0.9777,0.8779,1,0.9301,0.9743,0.8928,0.9629,0.8461,0.9845,0.9387,0.8947,0.8620,0.9206,0.9599,0.8779,0.7272,0.8124,0.9166,0.9599,0.9654,0.9411,0.8253,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9166,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9190,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9276,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9174,,,,,,,,,,,,,,,,,,,,,,,,,
