,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9444
y:label=1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=2,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629
y:label=3,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96
y:label=4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=9,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=10,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9473
y:label=11,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=12,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0.9655
y:label=13,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,1,0,0,0,0,0,0.9333
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,0,0,0,0,0.9130
y:label=16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1
y:label=17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1
y:label=18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
y:label=19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1
y:label=20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.96
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0.9629
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
y:label=24,0,1,0,2,3,0,1,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,48,0.7868
Precision,0.9189,0.92,0.9629,0.9230,0.8928,1,0.9583,1,1,1,1,0.9,1,0.9032,0.9230,0.9545,1,0.8823,0.9375,0.9583,1,1,0.9629,1,1,
F-Measures,0.9314,0.9583,0.9629,0.9411,0.9433,1,0.9787,1,1,1,0.9729,0.9473,0.9824,0.9180,0.9599,0.9332,1,0.9374,0.9677,0.9787,0.9795,1,0.9629,1,0.8806,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9606,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9599,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9734,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9654,,,,,,,,,,,,,,,,,,,,,,,,,
