x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R3\PICT544.png,3,0.00029702327,1.3894506e-05,9.000545e-05,0.9982774,1.6433837e-12,1.5721076e-12,6.662734e-12,5.4626187e-10,1.1455398e-11,4.057691e-11,1.4322765e-10,1.2925038e-06,0.0006429968,3.0261816e-08,1.246339e-09,1.1693091e-06,0.00046391724,2.0625384e-09,2.5440412e-08,1.3889526e-05,0.00018640069,2.4351174e-09,4.1766543e-07,1.1567519e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R1\PICT019.png,17,2.5774985e-05,0.001331623,0.00014676659,7.982958e-08,1.2248096e-07,5.669737e-05,6.64677e-08,1.1094884e-05,1.5641548e-09,7.178694e-06,8.728429e-06,1.202745e-07,2.3458253e-07,0.0027468407,3.4125373e-05,7.130002e-09,8.50096e-08,0.9921618,7.253302e-05,1.9373927e-06,2.874201e-05,0.003298693,6.6804365e-05,3.833225e-08
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Back_R3\PICT586.png,3,9.653904e-06,0.00047922443,1.23221e-05,0.9994442,4.909436e-11,1.04308895e-10,2.434553e-09,3.5397832e-08,4.6188922e-10,4.069281e-11,4.2681852e-10,1.3231829e-05,2.6228196e-07,7.645242e-11,9.820599e-11,8.60199e-08,6.1789045e-08,1.3543602e-10,3.8473064e-07,6.6908433e-07,9.7386156e-08,3.1382865e-09,5.393506e-10,3.9656385e-05
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R1\PICT697.png,9,4.547666e-06,0.00019523338,1.3090553e-07,4.1335537e-07,1.4501188e-05,0.001271363,2.580269e-05,7.975326e-07,5.4071428e-05,0.99800235,2.248802e-07,0.00012328643,1.7101988e-06,0.00013817134,1.1009283e-05,5.427257e-08,8.216505e-06,7.749564e-05,5.4398777e-05,1.4651841e-06,6.599377e-08,6.812417e-06,8.121934e-06,2.2057973e-08
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R2\PICT470.png,6,8.709976e-09,3.9034567e-05,2.0250393e-06,2.1214905e-06,0.0022594472,0.000879045,0.95742166,0.031495232,1.1276466e-05,0.0014425702,3.2235614e-05,9.829269e-05,8.903751e-08,2.4850622e-05,0.0030772556,3.2708235e-07,6.824351e-07,0.00047211614,0.002736874,2.75289e-06,1.8036332e-07,1.6979258e-06,2.5356481e-08,3.2781429e-09
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R1\PICT688.png,9,3.2037553e-06,0.0007156359,1.3107572e-06,4.062527e-07,3.426475e-06,0.0015181939,3.404417e-06,2.0670633e-07,1.812121e-05,0.9973133,8.3206896e-07,3.1530104e-05,3.0413246e-06,0.00012338803,1.7689637e-05,1.09227415e-07,6.2073997e-07,0.00011541013,6.9614325e-05,1.155101e-06,1.9943049e-07,2.4841003e-05,3.406273e-05,4.3239663e-08
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Front_R3\PICT654.png,11,0.0053650155,0.018516488,0.0022730601,0.006010667,0.0009970827,0.16344163,0.005713219,0.0034763492,0.008555534,0.4112451,0.004776843,0.17567559,0.029842367,0.00630838,0.010043717,0.009965442,0.008632674,0.0074437326,0.0445666,0.05665598,0.0025428021,0.0027656464,0.0006793307,0.014506893
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Bottom_R0\PICT372.png,4,2.7215555e-07,3.5909355e-09,5.4920073e-09,2.5201873e-06,0.8630359,0.114076525,0.0031174552,0.0072052083,7.648272e-06,8.08247e-06,1.2634714e-05,0.010349085,0.00055305765,2.3424375e-06,8.3686274e-07,2.9983945e-05,0.0015821886,5.536389e-06,5.779077e-07,9.746819e-06,1.4129671e-07,3.627896e-10,7.3193457e-10,1.5408439e-07
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Right_R2\PICT055.png,18,6.8460514e-07,0.00044223043,0.00013397262,3.4383298e-05,3.5380233e-07,4.40579e-06,0.00021244082,6.2450067e-06,1.7656897e-06,1.4031727e-07,0.000115192735,6.821147e-06,3.6133365e-06,4.577436e-06,0.003685006,2.1509662e-07,7.628246e-05,6.009858e-07,0.9952649,1.4669694e-06,3.2244793e-06,1.7658371e-07,9.599e-07,5.0220325e-07
C:\Users\DS1DPC2003M\Desktop\24_classes_data_set_mono_28x28\Top_R1\PICT193.png,21,1.6954973e-05,0.00014044638,0.0020698444,1.03420825e-05,2.428732e-05,0.0043230443,4.7430197e-07,1.1459564e-06,2.644494e-11,6.100118e-08,2.0970579e-06,4.5568567e-07,0.00023678402,0.0018062665,1.2182522e-07,8.7404946e-09,4.615578e-07,0.001780318,0.00054807746,6.1542096e-06,2.8647369e-06,0.9890293,4.4238993e-07,1.915383e-09
