0,898
1,182
2,565
3,457
4,2018
5,568
6,1339
7,778
8,562
9,716
10,953
11,501
12,688
13,829
14,57
15,2116
16,1770
17,2261
18,1646
19,1679
20,132
21,2305
22,1261
23,2278
24,974
25,1462
26,921
27,2149
28,1451
29,619
30,557
31,1997
32,1379
33,2336
34,616
35,486
36,1715
37,9
38,2200
39,2150
40,1755
41,944
42,597
43,1771
44,618
45,748
46,1492
47,793
48,1906
49,1946
50,1683
51,487
52,224
53,1717
54,53
55,1804
56,847
57,1205
58,1985
59,252
60,390
61,1957
62,1185
63,818
64,2359
65,1934
66,232
67,1359
68,735
69,245
70,1279
71,1661
72,1160
73,789
74,438
75,1368
76,1136
77,634
78,1581
79,684
80,657
81,477
82,1349
83,1713
84,148
85,436
86,899
87,1557
88,2004
89,2345
90,715
91,69
92,1898
93,2239
94,2129
95,2196
96,963
97,1474
98,425
99,1495
100,14
101,2270
102,1128
103,674
104,2265
105,465
106,41
107,1972
108,1622
109,1616
110,2203
111,1271
112,1068
113,812
114,703
115,791
116,646
117,567
118,2112
119,330
120,569
121,2202
122,1431
123,1688
124,1886
125,933
126,1358
127,70
128,2258
129,704
130,23
131,1766
132,22
133,333
134,1751
135,1328
136,2367
137,98
138,923
139,399
140,1593
141,1254
142,320
143,1355
144,654
145,2000
146,1126
147,1756
148,2279
149,2026
150,2115
151,2126
152,124
153,156
154,825
155,10
156,384
157,1732
158,1453
159,289
160,488
161,2368
162,743
163,1726
164,2262
165,2062
166,792
167,1882
168,1816
169,882
170,1428
171,1710
172,162
173,841
174,2039
175,1332
176,503
177,1029
178,1611
179,276
180,2182
181,251
182,2260
183,574
184,314
185,979
186,1489
187,1458
188,1363
189,39
190,1693
191,461
192,880
193,1529
194,379
195,1677
196,1614
197,215
198,1502
199,701
200,997
201,1199
202,1902
203,1280
204,195
205,1161
206,727
207,2065
208,1106
209,806
210,609
211,137
212,936
213,1813
214,1460
215,768
216,1192
217,361
218,935
219,480
220,978
221,1038
222,1256
223,1648
224,1055
225,459
226,711
227,805
228,478
229,27
230,2153
231,708
232,721
233,1601
234,414
235,402
236,530
237,817
238,2371
239,1869
240,135
241,398
242,453
243,2332
244,1421
245,758
246,405
247,799
248,2032
249,1002
250,1005
251,1180
252,2309
253,1947
254,1761
255,1482
256,322
257,1749
258,1017
259,1079
260,1858
261,107
262,1703
263,2234
264,2019
265,1231
266,1
267,2334
268,76
269,302
270,2290
271,1506
272,1624
273,820
274,1454
275,1526
276,446
277,1585
278,2272
279,1376
280,1423
281,1422
282,1643
283,745
284,916
285,896
286,535
287,1637
288,1673
289,1604
290,1322
291,1943
292,1651
293,570
294,733
295,2155
296,264
297,2352
298,1317
299,1907
300,1362
301,1809
302,2145
303,1063
304,1511
305,2322
306,117
307,48
308,303
309,220
310,1114
311,1657
312,1099
313,422
314,1327
315,2277
316,1032
317,1503
318,1108
319,582
320,687
321,317
322,191
323,578
324,1549
325,1603
326,883
327,2215
328,850
329,1513
330,2307
331,286
332,602
333,1610
334,991
335,946
336,1986
337,2002
338,918
339,206
340,2060
341,2107
342,1295
343,1222
344,1315
345,961
346,2058
347,1633
348,443
349,1524
350,1351
351,1510
352,1856
353,661
354,452
355,1426
356,638
357,2216
358,1432
359,133
360,1729
361,1859
362,1277
363,1544
364,1023
365,2072
366,651
367,1190
368,1135
369,442
370,878
371,1969
372,1312
373,11
374,1093
375,2157
376,655
377,391
378,305
379,1109
380,529
381,157
382,2306
383,1923
384,440
385,1870
386,575
387,985
388,18
389,229
390,200
391,2028
392,1076
393,2111
394,1861
395,723
396,2242
397,47
398,296
399,596
400,1203
401,194
402,175
403,1183
404,1498
405,17
406,1087
407,2127
408,983
409,385
410,2226
411,1245
412,145
413,2300
414,1618
415,1235
416,2041
417,1390
418,1716
419,418
420,672
421,2268
422,1140
423,1668
424,254
425,832
426,1081
427,1825
428,682
429,300
430,1385
431,1656
432,259
433,489
434,30
435,1137
436,1132
437,1507
438,1293
439,917
440,1018
441,1357
442,610
443,518
444,1878
445,1049
446,2231
447,386
448,517
449,1324
450,1851
451,1414
452,795
453,579
454,1073
455,1554
456,1273
457,1485
458,283
459,2240
460,1228
461,828
462,547
463,149
464,1796
465,1473
466,1490
467,1476
468,1275
469,458
470,1263
471,648
472,713
473,1310
474,2194
475,1051
476,1827
477,1354
478,6
479,900
480,1257
481,1464
482,2184
483,2037
484,353
485,33
486,2086
487,1487
488,670
489,1096
490,2323
491,1689
492,980
493,1553
494,781
495,1003
496,2003
497,161
498,37
499,249
500,1080
501,1560
502,1569
503,1283
504,2144
505,581
506,676
507,2317
508,1484
509,1052
510,2276
511,1873
512,563
513,1069
514,757
515,868
516,1550
517,1658
518,2045
519,2102
520,794
521,2291
522,1091
523,342
524,1711
525,810
526,1912
527,1968
528,2289
529,1841
530,762
531,731
532,1998
533,483
534,80
535,536
536,1259
537,1366
538,764
539,475
540,532
541,1959
542,299
543,838
544,663
545,485
546,233
547,2097
548,1900
549,2070
550,287
551,2219
552,512
553,1853
554,1817
555,553
556,842
557,279
558,253
559,1815
560,2014
561,1150
562,1174
563,951
564,1323
565,1764
566,31
567,1887
568,1979
569,621
570,1901
571,1632
572,1538
