2024-10-09 16:31:39,894 Training process is started.
python "C:\Users\DS1DPC2003M\Desktop\tool\neural_network_console3.10\libs\Python\Lib\site-packages\nnabla\utils\cli\cli.py" train
	-c "C:\Users\DS1DPC2003M\Desktop\spresense_cv\data_not_square\raw_data_base.files\20241009_163139\net.nntxt"
	-o "C:\Users\DS1DPC2003M\Desktop\spresense_cv\data_not_square\raw_data_base.files\20241009_163139"
2024-10-09 16:31:41,195 [nnabla]: [CALLBACK]: Exec train on local
2024-10-09 16:31:41,203 [nnabla]: Using context "Context(backend=['cpu:float'], array_class='CpuCachedArray', device_id='')"
2024-10-09 16:31:41,204 [nnabla]: Creating cache data for "C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\train.csv"
2024-10-09 16:31:41,247 [nnabla]: Creating cache data for "C:\Users\DS1DPC2003M\Desktop\spresense_cv\dataset4_not_square\test.csv"
2024-10-09 16:31:41,282 [nnabla]: Train with contexts ['cpu']
2024-10-09 16:31:41,303 [nnabla]: Training epoch 1 of 300 begin
2024-10-09 16:31:41,303 [nnabla]: ctx passed to scheduler doesn't have cuda/cudnn backend. lms scheduler will not be used.
2024-10-09 16:31:41,303 [nnabla]: ctx passed to scheduler doesn't have cuda/cudnn backend. lms scheduler will not be used.
2024-10-09 16:31:41,365 [nnabla]: epoch 1 of 300 cost=0.852351  {train_error=0.688127, valid_error=0.717324} time=(0.0s /8.8s) 
2024-10-09 16:31:41,408 [nnabla]: epoch 2 of 300 cost=0.713622  {train_error=0.659559, valid_error=0.666061} time=(0.1s /12.9s) 
2024-10-09 16:31:41,445 [nnabla]: epoch 3 of 300 cost=0.716025  {train_error=0.668237, valid_error=0.758423} time=(0.1s /12.9s) 
2024-10-09 16:31:41,483 [nnabla]: epoch 4 of 300 cost=0.711473  {train_error=0.663598, valid_error=0.677048} time=(0.2s /12.5s) 
2024-10-09 16:31:41,531 [nnabla]: epoch 5 of 300 cost=0.689670  {train_error=0.653989, valid_error=0.631162} time=(0.2s /12.3s) 
2024-10-09 16:31:41,556 [nnabla]: epoch 6 of 300 cost=0.698859  time=(0.3s /12.6s) 
2024-10-09 16:31:41,579 [nnabla]: epoch 7 of 300 cost=0.691429  time=(0.3s /11.8s) 
2024-10-09 16:31:41,604 [nnabla]: epoch 8 of 300 cost=0.689037  time=(0.3s /11.2s) 
2024-10-09 16:31:41,629 [nnabla]: epoch 9 of 300 cost=0.700778  time=(0.3s /10.8s) 
2024-10-09 16:31:41,663 [nnabla]: epoch 10 of 300 cost=0.693561  {train_error=0.649280, valid_error=0.683659} time=(0.3s /10.4s) 
2024-10-09 16:31:41,687 [nnabla]: epoch 11 of 300 cost=0.698525  time=(0.4s /10.4s) 
2024-10-09 16:31:41,717 [nnabla]: epoch 12 of 300 cost=0.691567  time=(0.4s /10.2s) 
2024-10-09 16:31:41,744 [nnabla]: epoch 13 of 300 cost=0.686985  time=(0.4s /10.1s) 
2024-10-09 16:31:41,770 [nnabla]: epoch 14 of 300 cost=0.686729  time=(0.5s /10.0s) 
2024-10-09 16:31:41,798 [nnabla]: epoch 15 of 300 cost=0.696840  time=(0.5s /9.9s) 
2024-10-09 16:31:41,824 [nnabla]: epoch 16 of 300 cost=0.696395  time=(0.5s /9.7s) 
2024-10-09 16:31:41,851 [nnabla]: epoch 17 of 300 cost=0.714141  time=(0.5s /9.7s) 
2024-10-09 16:31:41,878 [nnabla]: epoch 18 of 300 cost=0.686067  time=(0.6s /9.6s) 
2024-10-09 16:31:41,904 [nnabla]: epoch 19 of 300 cost=0.688031  time=(0.6s /9.5s) 
2024-10-09 16:31:41,945 [nnabla]: epoch 20 of 300 cost=0.694777  {train_error=0.646744, valid_error=0.652516} time=(0.6s /9.4s) 
2024-10-09 16:31:41,974 [nnabla]: epoch 21 of 300 cost=0.698922  time=(0.7s /9.6s) 
2024-10-09 16:31:42,000 [nnabla]: epoch 22 of 300 cost=0.686028  time=(0.7s /9.5s) 
2024-10-09 16:31:42,031 [nnabla]: epoch 23 of 300 cost=0.684845  time=(0.7s /9.4s) 
2024-10-09 16:31:42,057 [nnabla]: epoch 24 of 300 cost=0.690474  time=(0.8s /9.4s) 
2024-10-09 16:31:42,083 [nnabla]: epoch 25 of 300 cost=0.695385  time=(0.8s /9.4s) 
2024-10-09 16:31:42,110 [nnabla]: epoch 26 of 300 cost=0.702397  time=(0.8s /9.3s) 
2024-10-09 16:31:42,143 [nnabla]: epoch 27 of 300 cost=0.691653  time=(0.8s /9.3s) 
2024-10-09 16:31:42,169 [nnabla]: epoch 28 of 300 cost=0.697915  time=(0.9s /9.3s) 
2024-10-09 16:31:42,194 [nnabla]: epoch 29 of 300 cost=0.687504  time=(0.9s /9.2s) 
