,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9523
y:label=1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=2,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=4,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9473
y:label=5,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=6,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.9615
y:label=9,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629
y:label=10,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=11,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=12,0,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0.9583
y:label=13,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0.8947
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,1
y:label=16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,24,0,0,0,0,0,0,0,1,0.9230
y:label=17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0.9090
y:label=18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,15,0,0,0,0,0,0,0.7142
y:label=19,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,13,0,0,0,0,1,0.7222
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,1
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,1
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1
y:label=24,1,0,1,0,3,0,3,0,1,0,0,0,2,0,1,1,0,0,0,0,3,1,3,1,51,0.7083
Precision,0.9523,1,0.88,1,0.8571,1,0.8695,0.95,0.9615,0.9629,0.9310,0.9696,0.8846,0.9444,0.7812,0.8787,1,0.9090,1,1,0.88,0.96,0.9032,0.9444,0.9622,
F-Measures,0.9523,1,0.9361,1,0.8999,1,0.9301,0.9743,0.9615,0.9629,0.9642,0.9845,0.9199,0.9188,0.8771,0.9354,0.9599,0.909,0.8332,0.8386,0.9361,0.9795,0.9491,0.9714,0.8159,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9323,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9352,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9461,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9364,,,,,,,,,,,,,,,,,,,,,,,,,
